[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/Users/dsoojung/.pm2/pm2.log last 1000 lines:
PM2        | 2024-06-27T16:58:32: PM2 log: App [index:0] online
PM2        | 2024-06-27T17:00:12: PM2 log: Stopping app:index id:0
PM2        | 2024-06-27T17:00:12: PM2 log: App [index:0] exited with code [0] via signal [SIGINT]
PM2        | 2024-06-27T17:00:12: PM2 log: pid=77757 msg=process killed
PM2        | 2024-06-27T17:00:12: PM2 log: App [index:0] starting in -fork mode-
PM2        | 2024-06-27T17:00:12: PM2 log: App [index:0] online
PM2        | 2024-06-27T17:00:39: PM2 log: Stopping app:index id:0
PM2        | 2024-06-27T17:00:39: PM2 log: App [index:0] exited with code [0] via signal [SIGINT]
PM2        | 2024-06-27T17:00:39: PM2 log: pid=78881 msg=process killed
PM2        | 2024-06-27T17:00:39: PM2 log: App [index:0] starting in -fork mode-
PM2        | 2024-06-27T17:00:39: PM2 log: App [index:0] online
PM2        | 2024-06-27T17:01:49: PM2 log: Stopping app:index id:0
PM2        | 2024-06-27T17:01:49: PM2 log: App [index:0] exited with code [0] via signal [SIGINT]
PM2        | 2024-06-27T17:01:49: PM2 log: pid=79282 msg=process killed
PM2        | 2024-06-27T17:01:49: PM2 log: App [index:0] starting in -fork mode-
PM2        | 2024-06-27T17:01:49: PM2 log: App [index:0] online
PM2        | 2024-06-27T17:04:40: PM2 log: Stopping app:index id:0
PM2        | 2024-06-27T17:04:40: PM2 log: App [index:0] exited with code [0] via signal [SIGINT]
PM2        | 2024-06-27T17:04:41: PM2 log: pid=80000 msg=process killed
PM2        | 2024-06-27T17:04:41: PM2 log: App [index:0] starting in -fork mode-
PM2        | 2024-06-27T17:04:41: PM2 log: App [index:0] online
PM2        | 2024-06-27T17:04:59: PM2 log: Stopping app:index id:0
PM2        | 2024-06-27T17:04:59: PM2 log: App [index:0] exited with code [0] via signal [SIGINT]
PM2        | 2024-06-27T17:04:59: PM2 log: pid=81911 msg=process killed
PM2        | 2024-06-27T17:05:10: PM2 log: App [index:0] starting in -fork mode-
PM2        | 2024-06-27T17:05:10: PM2 log: App [index:0] online
